Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Poland,POL,1970,105.84359,Poland,32482946,503844,2521315,8718391,15021604,21090858,23764242,21663762,503329,2017471,2774769,3422307,3451361,4755205,4435609,4181443,2787152,2635572,1203502,292970,21427,313,3.26E-06,0
Portugal,PRT,1970,53.6951,Portugal,8683627,157471,826836,2491114,3851433,5352791,6192415,5742741,159032,669365,857448,806830,733281,1154706,1108866,1068766,886420,729676,371745,128733,10222,98,6.18E-06,5
Qatar,QAT,1970,1.1239372,Qatar,118019,5003,20696,41982,62449,73268,76037,70906,4474,15693,12469,8817,8942,24645,21064,11274,5645,2889,1289,281,8,0,9.52E-06,3
Romania,ROU,1970,127.266594,Romania,19922620,363712,1679145,4750957,8083461,13417272,15171634,14097600,365931,1315433,1396638,1675174,1781892,2875635,3174193,2795679,1849945,1681145,793785,210520,8840,28,6.39E-06,5
Saudi Arabia,SAU,1970,247.49394,Saudi Arabia,6106192,271581,1169722,2778212,3888001,3133199,3327976,2951858,246059,898141,887556,720934,608796,936984,691680,473258,311248,195183,90446,19382,999,4,4.05E-05,1
Singapore,SGP,1970,87.17049,Singapore,2061833,42955,236622,807397,1249639,1185973,1254435,1099247,44075,193667,281660,289115,247239,328113,243889,181177,136966,81788,28715,6131,417,1,4.23E-05,1
Slovakia,SVK,1970,47.31742,Slovakia,4522872,80773,386686,1245937,2067652,2866164,3276911,3001342,75489,305913,413295,445956,455256,663346,556839,585923,391689,384360,190717,45648,3133,24,1.05E-05,3
South Africa,ZAF,1970,103.3002,South Africa,22368306,818739,3713316,9419514,13748708,12159495,12948667,11540260,768736,2894577,3072633,2633565,2277669,3755119,2472108,1857423,1315650,834333,338583,88761,9021,125,4.62E-06,5
South Korea,KOR,1970,98.390976,South Korea,32601146,935424,4590069,13805825,19720898,17662634,18795320,16678294,907634,3654645,4771040,4444716,3288650,5003250,4060173,2731324,1885999,1158977,541149,121561,4237,1,3.02E-06,0
Spain,ESP,1970,328.98575,Spain,33792624,646730,3228003,9419675,14615626,21108842,24372350,22749248,635052,2581273,3207401,2984271,2659550,4743922,4448015,4403719,3346416,2777183,1474827,474041,44677,599,9.74E-06,3
Sri Lanka,LKA,1970,17.57452,Sri Lanka,12388767,364183,1778168,4948368,7366427,6932239,7440284,6641174,359138,1413985,1658874,1511326,1294323,2035777,1415226,1124397,785609,483894,223655,69017,8386,115,1.42E-06,0
Sweden,SWE,1970,341.1421,Sweden,8027701,108072,581556,1673006,2881214,5254959,6354569,6030075,110353,473484,561578,529872,550914,1268257,927142,1012243,1021165,871358,516453,171676,15361,126,4.25E-05,1
Switzerland,CHE,1970,149.8176,Switzerland,6181231,96361,501522,1469073,2421299,4010127,4712108,4445725,98159,405161,505828,461723,450690,1000490,848013,759418,638970,576497,329343,100457,8230,50,2.42E-05,2
Taiwan,TWN,1970,61.906002,Taiwan,14957875,420099,2128615,6232023,9200306,8330620,8725812,7640520,421342,1708516,2125616,1977792,1730401,2262177,1772607,1360307,925661,471784,168326,32851,1698,40,4.14E-06,5
Thailand,THA,1970,60.303055,Thailand,35791730,1271376,6073540,15999598,22764262,18714734,19791232,17418020,1233182,4802164,5375014,4551044,3798158,5447368,4252521,2839887,1755998,1066363,471282,139718,19936,899,1.68E-06,0
Trinidad and Tobago,TTO,1970,25.560862,Trinidad and Tobago,988902,25199,128446,405173,607816,541067,583706,511703,24835,103247,146304,130423,114288,154075,99461,84099,65547,41654,17758,5736,1088,23,2.58E-05,6
Turkey,TUR,1970,83.33808,Turkey,35540988,1253035,5940721,15269458,21842440,18625560,20271310,17909950,1266332,4687686,5118733,4210004,3636418,5292163,3938855,2921655,2038230,1446529,730822,226294,40345,218,2.34E-06,0
United Arab Emirates,ARE,1970,1.4155911,United Arab Emirates,298096,9539,39665,95889,170460,197548,202207,183206,8389,30126,30292,25932,33992,75051,49819,24712,11218,4982,2060,355,18,0,4.75E-06,5
United Kingdom,GBR,1970,1228.7844,United Kingdom,55650160,894717,4622222,13415046,21507932,34985680,42233880,39917132,910375,3727505,4668865,4123959,3853260,7805622,6506850,7010086,6600900,5902226,3298772,1139470,116695,1234,2.21E-05,2
United States,USA,1970,8176.1914,United States,200328340,3411434,16828260,56660480,91354470,124029170,143660800,132167976,3322137,13416825,19465116,20367104,19091120,28749352,22960080,24001686,20738112,15316625,9169734,3279628,354462,7063,4.08E-05,1
Venezuela,VEN,1970,126.479774,Venezuela,11355474,405498,1929956,5190727,7402509,5869147,6164730,5382761,393281,1524458,1730995,1529776,1241959,1751417,1222093,888501,576082,320100,132351,30547,1680,17,1.11E-05,3
Vietnam,VNM,1970,73.69463,Vietnam,41928850,1371061,6394558,17887090,25248128,21726660,24041672,21273586,1311114,5023497,6001230,5491302,4327044,5287348,4417502,3689066,2884841,2102323,1051928,264099,17521,86,1.76E-06,0
Algeria,DZA,1971,27.440048,Algeria,14110269,579039,2543317,6638880,9308750,6989837,7471389,6500808,526700,1964278,2236243,1859320,1544954,1991631,1467201,1033187,686958,470049,223661,52783,965,0,1.94E-06,2
Argentina,ARG,1971,296.5011,Argentina,24223380,545299,2555214,7183792,11405773,15423441,17039546,15717929,521895.03,2009915,2363632,2264946,2179794,3885130,3215548,2952823,2300905,1578342,743190,174764,9049,43,1.22E-05,0
Australia,AUS,1971,305.54456,Australia,12993837,259247.02,1241172,3721376,5977796,8178713,9272249,8583692,251786,981925,1238305,1241899,1134926,2083456,1571321,1588727,1287497,910440,499928,179129,16825,212,2.35E-05,4
Austria,AUT,1971,119.607025,Austria,7498548,107953,591229,1823906,2864617,4610472,5674580,5360773,113733,483276,644333,588344,514345,1020933,932620,942071,754534,848380,503503,147015,11179,62,1.60E-05,0
Bangladesh,BGD,1971,8.135291,Bangladesh,68376210,2821568,12312268,30784362,42775816,35460980,37591844,33390042,2550334,9490700,10096222,8375872,6680652,10076698,7720821,5668402,3944181,2365526,978334,153836,3396,0,1.19E-07,2
Belgium,BEL,1971,317.5064,Belgium,9666396,139990,707978,2267673,3723427,6092253,7398603,6952899,140021,567988,782720,776975,733792,1321693,1200147,1301794,1001678,1014336,618695,190215,16253,120,3.28E-05,1
Brazil,BRA,1971,342.16653,Brazil,98766290,3203738,15087294,41748420,61146156,53815930,57017776,50415720,3042758,11883556,14129071,12532055,10641684,15814123,11394664,8505502,5528527,3330948,1466436,322533,13358,91,3.46E-06,2
Bulgaria,BGR,1971,116.62912,Bulgaria,8646261,138816,692631,2005971,3379211,5777679,6639417,6236922,142882,553815,659538,653802,671689,1323316,1205376,1265765,873743,786516,389119,111659,12234,873,1.35E-05,0
Canada,CAN,1971,877.85034,Canada,21888686,356858,1836596,6413814,10519506,13714164,15474332,14146307,362317,1479738,2252046,2325172,2157722,3589381,2621576,2527905,2031896,1410788,790866,308484,35714,540,4.01E-05,5
Chile,CHL,1971,61.719658,Chile,9984377,266612,1305723,3763153,5738291,5829621,6221224,5564875,261180,1039111.06,1268011,1189419,1065657,1642000,1212529,1025619,649482,404282,186094,35101,460,0,6.18E-06,6
China,CHN,1971,451.57767,China,843285440,29014390,137231800,343715170,509668100,468002560,499570100,441983900,28592234,108217416,122882936,83600430,94186950,124649000,96586310,76653950,55709916,35346490,13928435,2425858,83216,115,5.35E-07,2
Colombia,COL,1971,79.72807,Colombia,21405412,715057,3491147,9753803,14101589,10998284,11651576,10131986,697549,2776090,3330505,2932151,2429876,3411303,2174132,1546746,1058952,647066,296319,82095,5087,33,3.72E-06,2
Cyprus,CYP,1971,9.548513,Cyprus,644416,11495,58527,194868,319281,393675,449547,408244,11489,47032,64716,71625,66490,105820,75485,65319,54639,46833,25002,9140,819,1,1.48E-05,0
Czechia,CZE,1971,90.6397,Czechia,9816554,147684,696473,2077196,3772231,6535575,7739308,7256472,141661,548789,699255,681468,821415,1615416,1153385,1326242,1014537,1096184,563799,138970,9360,50,9.23E-06,6
Denmark,DNK,1971,212.84607,Denmark,4951490,72558,376150,1147516,1919003,3184023,3803906,3580749,70809,303592,403468,367898,371441,798207,587863,579842,579574,489060,292408,96886,8625,68,4.30E-05,5
Ecuador,ECU,1971,14.232479,Ecuador,6350954,237609,1090964,2819084,4056776,3288053,3531863,3112615,224121,853355,933511,794609,676958,1002020,667287,476532,339668,222344,113796,31248,2010,7,2.24E-06,2
Egypt,EGY,1971,74.0778,Egypt,35555972,1297147,5682909,14732552,21506616,19369648,20823408,18544064,1172553,4385762,4821382,4228261,3657605,5384956,3867787,3295038,2332963,1443982,674224,157980,8873,12,2.08E-06,2
Finland,FIN,1971,131.4189,Finland,4612433,60730,333576,1107205,1972276,3070272,3505206,3253291,62589,272846,379227,394402,421451,783690,571072,573664,485651,414753,201549,50346,3030,22,2.85E-05,1
France,FRA,1971,1216.7485,France,50970696,843941,4120160,12459051,20892924,31857398,38510652,36049628,821659,3276219,4204398,4134493,4121345,7473966,6252840,6644923,4729120,5005276,3101298,1074659,107226,993,2.39E-05,4
Germany,DEU,1971,1712.5317,Germany,78511410,1009409,5733078,18196496,28648126,49421560,60314416,57072640,1074352,4723669,6537204,5926215,5376127,10120991,11642366,9641685,7881897,8986921,5111962,1449244,103221,494,2.18E-05,4
Greece,GRC,1971,87.45739,Greece,8576110,144131,741156,2126463,3270099,5467608,6448908,6058083,146867,597025,707938,677369,616896,1061732,1223147,1196290,921838,816111,432898,155737,24259,739,1.02E-05,0
Hong Kong,HKG,1971,48.245647,Hong Kong,4028605,71998,387221,1436097,2232323,2410203,2592478,2312817,70308,315223,514324,534552,448711,562694,458039,475477,348138,192939,83490,20830,2160,30,1.20E-05,0
Hungary,HUN,1971,78.927284,Hungary,10345368,146383,726602,2107260,3865940,7023820,8238066,7651234,147571,580219,636801,743857,937057,1551579,1371274,1462047,1104211,1072140,584490,146072,9196,42,7.63E-06,6
Iceland,ISL,1971,6.399699,Iceland,206184,4011.0002,20645,66167,104338,121677,140014,127343,4008.9998,16634,22857,22665,20490,31965,22178,22056,17762,13443,8922,2913,285,3,3.10E-05,1
India,IND,1971,243.33246,India,569999170,20084850,89262030,233205730,340571040,315989500,336792960,299907520,18374650,69177176,76024350,67919340,59516224,86685220,67247460,51888656,37206090,22748600,9510036,1901718,88974,495,4.27E-07,2
Indonesia,IDN,1971,83.943825,Indonesia,118347140,4250621,19528572,50324430,70564420,64276788,68022590,60971660,4001893,15277951,16743549,14052309,11195362,17524080,15137638,10735613,7075471,4433944,1642083,266834,11570,115,7.09E-07,2
Iran,IRN,1971,141.64664,Iran,29273686,1122349,5019703,12827770,18299608,15392153,16445894,14543968,1042178,3897354,4148485,3659582,3062943,4219558,3283818,2634967,1601684,1045907,471450,119161,6406,22,4.84E-06,6
Iraq,IRQ,1971,33.480137,Iraq,10154937,429055,1935644,4456673,6270606,5244933,5698255,5075528,403986,1506589,1539699,981330,1019739,1464472,1054728,780619,660564,472401,211124,32854,1754,9,3.30E-06,2
Ireland,IRL,1971,53.493183,Ireland,2969402,64859,314112,922477,1407058,1713673,2046879,1880962,63653,249253,313319,295046,267322,397195,294241,306464,312578,245764,161744,55520,6051,46,1.80E-05,4
Israel,ISR,1971,70.908646,Israel,3018592,80454,359508,979720,1584180,1826423,2038858,1852887,74263,279054,312989,307223,312946,501649,322517,305578,259077,212824,96171,25711,2385,14,2.35E-05,4
Italy,ITA,1971,1101.3706,Italy,53636100,871691,4448500,13223212,20985528,34341370,40412370,38107940,876716,3576809,4602557,4172155,3777421,7397195,7406975,7281122,5583641,5193984,2795607,903770,72653,519,2.05E-05,4
Japan,JPN,1971,2535.3396,Japan,106789360,1933704,9093235,25119368,44979450,73853380,81669280,76680936,1864934,7159531,8205956,7820176,8672495,20582820,17111670,14006245,9538529,7023957,3688916,970864,73781,715,2.37E-05,4
Kuwait,KWT,1971,53.16879,Kuwait,858740,34853,161584,386816,540357,457011,471924,427227,33501,126731,130913,94319,75129,152976,116003,70472,34164,14365,7075,1671,69,0,6.19E-05,3
Lower-middle-income countries,,1971,832.37915,Lower-middle-income countries,1283376500,46341824,206516670,535945700,771182400,698958500,747427260,666338940,42566030,160174850,175716940,153712100,130228800,191853760,151410800,115940376,80025060,50858830,21964734,4835347,309530,3595,6.49E-07,2
Luxembourg,LUX,1971,16.681265,Luxembourg,341980,4405,23290,75079,123518,223670,266900,251753,4441,18885,25983,25806,25133,46138,46980,47425,38028,37046,20236,5490,424,1,4.88E-05,5
Malaysia,MYS,1971,45.043636,Malaysia,10552565,335675,1618266,4656338,6814459,5618568,5896226,5129998,327555,1282591,1580428,1457644,1226820,1621518,1153800,814741,583738,349050,120133,24968,1458,1,4.27E-06,6
Mexico,MEX,1971,262.43677,Mexico,51897680,2118883,9696603,24559756,34574240,25726034,27337590,23878734,1987688,7577720,8128213,6734941,5539569,7999099,5203107,3723881,2374642,1544591,727391,203142,22168,332,5.06E-06,6
Morocco,MAR,1971,23.806574,Morocco,15677305,628967,2816981,7300095,10189689,7887862,8377202,7336186,577888,2188014,2413560,2069554,1656632,2200046,1775693,1352362,653495,474348,225698,37093,1835,8,1.52E-06,2
Netherlands,NLD,1971,423.7892,Netherlands,13186716,231255,1184016,3570994,5872719,8260618,9615550,8942575,240758,952761,1215928,1171050,1119433,2154531,1601653,1511183,1301777,1060841,633756,212491,19885,172,3.21E-05,1
New Zealand,NZL,1971,49.176487,New Zealand,2868891,61959,299835,907709,1405742,1714300,1961124,1797524,60455,237876,305681,302193,264653,424282,319544,318175,273301,204845,109952,41718,4654,58,1.71E-05,0
Norway,NOR,1971,96.0008,Norway,3902912,64507.004,328940,951742,1565785,2443666,2951071,2766716,65643,264433,315986,306816,304584,582784,402874,463575,482070,385179,242545,79127,8333,99,2.46E-05,4
Oman,OMN,1971,15.471502,Oman,688810,30386,130994,315003,434424,349405,373807,332735,27413,100608,102264,81745,65753,103419,74133,52894,38794,25237,11175,2271,131,0,2.25E-05,4
Pakistan,PAK,1971,51.226597,Pakistan,60878784,2365697,10487902,26652160,37393028,32210004,34226610,30523980,2150488,8122205,8804511,7359748,5882428,9340348,7059037,5145248,3571511,2089807,901789,222716,13725,15,8.41E-07,2
Peru,PER,1971,56.256172,Peru,13911970,535310,2404171,6122121,8763859,7241883,7789717,6899749,496805,1868861,2012782,1705168,1435704,2163617,1526484,1085005,742209,503098,250280,74290,9030,132,4.04E-06,2
Philippines,PHL,1971,98.73644,Philippines,38421740,1462043,6778091,17868240,25399092,19505368,20553048,17906880,1382053,5316048,5978720,5111429,4230033,5898912,4045657,2829589,1872806,1057432,424573,157582,36463,453,2.57E-06,2
Poland,POL,1971,112.22479,Poland,32710744,520086.97,2523121,8508975,15050577,21426160,24201440,22085044,496978,2003034,2684340,3301514,3488554,5004658,4345410,4301776,2784670,2682170,1267957,304067,22179,327,3.43E-06,2
Portugal,PRT,1971,60.925804,Portugal,8700518,162807,796376,2464981,3843538,5373955,6235431,5785116,145377,633569,852289,816316,740048,1171536,1085660,1073618,890881,745569,385806,131811,10502,106,7.00E-06,6
Qatar,QAT,1971,1.0794972,Qatar,133114,5332,22621,49760,74296,80476,83354,76497,4865,17289,15245,11894,11562,26939,22445,11912,5866,2987,1330,303,10,0,8.11E-06,6
Romania,ROU,1971,129.28983,Romania,20145242,367913,1827857,4765752,8181466,13570704,15379461,14303124,367076,1459944,1367119,1570776,1782403,2944487,3153713,2888293,1836221,1724265,823954,216695,9430,29,6.42E-06,6
Saudi Arabia,SAU,1971,250.45639,Saudi Arabia,6396665,284027,1225211,2902365,4069829,3293484,3494296,3103064,257690,941184,928160,748994,634292,994833,729421,496921,323441,201009,93246,20089,1044,4,3.92E-05,5
Singapore,SGP,1971,75.6517,Singapore,2095907,43693,227440,794980,1261689,1228934,1300925,1139652,42809,183747,275639,291901,257444,344458,250375,186208,139028,86014,30596,6368,434,2,3.61E-05,1
Slovakia,SVK,1971,52.108093,Slovakia,4557506,82558,388376,1232578,2082920,2903711,3324904,3048124,79784,305818,408215,435987,458824,690193,553450,586815,398330,387832,199961,46287,3212,24,1.14E-05,0
South Africa,ZAF,1971,112.90513,South Africa,23031448,839620,3815511,9676060,14126613,12533787,13355259,11902845,789035,2975891,3162095,2698454,2353893,3886242,2558060,1896897,1344248,860875,354845,90927,9272,129,4.90E-06,6
South Korea,KOR,1971,111.123955,South Korea,33288372,946342,4598040,13886768,20107708,18224440,19401594,17136112,923688,3651698,4705513,4583215,3519330,5063211,4203540,2799376,1929869,1188646,558820,133886,4916,9,3.34E-06,2
Spain,ESP,1971,362.10995,Spain,34133624,653424,3220535,9506957,14753148,21271986,24626040,22991818,637928,2567111,3237343,3049079,2698677,4799263,4376497,4473242,3398609,2818382,1530626,484820,45923,626,1.06E-05,0
Sri Lanka,LKA,1971,17.690096,Sri Lanka,12654656,362241,1784248,5012636,7491258,7115734,7641912,6822881,357952,1422007,1677586,1550802,1327991,2098758,1446943,1145616,809807,501832,232350,70202,8413,108,1.40E-06,2
Sweden,SWE,1971,320.8071,Sweden,8073823,111121,570612,1679038,2864119,5267695,6394645,6071750,108755,459491,582004,526422,546210,1286616,937835,984312,1031813,883447,530495,177693,16224,140,3.97E-05,5
Switzerland,CHE,1971,158.97955,Switzerland,6213706,95427,491854,1474675,2408198,4019263,4738976,4471897,96138,396427,513740,469081,447703,990947,858011,764363,643906,582440,339823,103073,8710,55,2.56E-05,4
Taiwan,TWN,1971,86.65054,Taiwan,15292070,412779,2097107,6241806,9367663,8631710,9050230,7930346,414758,1684328,2140699,2004000,1799811,2366494,1806263,1402386,960001,498128,179596,35666,1885,34,5.67E-06,6
Thailand,THA,1971,67.13238,Thailand,36807996,1269642,6120676,16337278,23403602,19354252,20469670,18011958,1237422,4851034,5518416,4698186,3943962,5657148,4354135,2957337,1803989,1097403,491088,143317,21292,1049,1.82E-06,2
Trinidad and Tobago,TTO,1971,26.413431,Trinidad and Tobago,1000135,25845,125898,402076,612353,554583,598031,524058,24733,100053,143241,132937,117728,161512,100935,84169,66456,42151,18497,5541,1042,28,2.64E-05,4
Turkey,TUR,1971,98.7893,Turkey,36359956,1297071,5931228,15523901,22333408,19137928,20835870,18435080,1151720,4634157,5268111,4324562,3759402,5465501,4020748,3007747,2080540,1463661,758258,237850,42162,184,2.72E-06,2
United Arab Emirates,ARE,1971,1.6705304,United Arab Emirates,344521,10701,44719,105727,194692,233317,238794,217260,9604,34018,32421,28587,39199,91098,58460,28508,12710,5863,2494,442,20,0,4.85E-06,6
United Kingdom,GBR,1971,1235.2861,United Kingdom,55875904,884168,4539274,13496458,21554738,34991256,42378096,40048412,889490,3655106,4715641,4241543,3861261,7924944,6478506,6863223,6646990,5948133,3373096,1159780,122165,1349,2.21E-05,4
United States,USA,1971,8461.684,United States,202907920,3409722,16753612,56305490,92236000,126556630,146594800,134807440,3391032,13343890,18999048,20552828,19530354,30197346,23106328,24053456,20917518,15779272,9244537,3390508,375476,7634,4.17E-05,5
Venezuela,VEN,1971,127.675095,Venezuela,11705678,410447,1959785,5302364,7615398,6092633,6403297,5587539,398794,1549338,1767546,1575033,1299881,1826125,1255306,916674,598137,334112,138888,32359,1815,17,1.09E-05,0
Vietnam,VNM,1971,62.34338,Vietnam,42916624,1411902,6503486,18210916,26026550,22337860,24705610,21841266,1338842,5091584,6081925,5625504,4535875,5590149,4400077,3754954,2920323,2123917,1087649,274180,18486,100,1.45E-06,2
Algeria,DZA,1972,30.121414,Algeria,14439750,589778,2596556,6785869,9575461,7175283,7653881,6660912,538051,2006778,2249857,1939456,1597642,2081027,1475890,1062701,693215,468830,221471,52132,973,0,2.09E-06,3
Argentina,ARG,1972,295.1862,Argentina,24612798,562165,2620690,7292980,11574512,15650034,17319772,15980862,538532,2058525,2391854,2280436,2208379,3962802,3249421,2980083,2339059,1616273,770043,183830,9882,46,1.20E-05,4
Australia,AUS,1972,311.03336,Australia,13300319,262626,1276578,3783954,6080284,8390299,9516137,8808882,261116,1013952,1234021,1273355,1162284,2163889,1615951,1592473,1324557,943472,511991,183939,17581,228,2.34E-05,2
Austria,AUT,1972,129.12288,Austria,7542083,104135,571771,1822731,2882714,4639393,5719288,5392388,107882,467636,643162,607798,531591,1019648,958879,930455,755671,845401,516520,149629,11494,64,1.71E-05,4
Bangladesh,BGD,1972,9.919018,Bangladesh,69346710,2876845,12442093,31422438,43671788,35793840,37924270,33573810,2566271,9565248,10289258,8691087,6907464,10096753,7733874,5706601,3969570,2374183,977868,154865,3092,0,1.43E-07,3
Belgium,BEL,1972,343.47244,Belgium,9700295,137244,699362,2256377,3721979,6121174,7443792,6992353,140226,562118,773105,783910,744682,1365472,1170073,1299449,1012351,1008821,632875,193173,16896,126,3.54E-05,6
Brazil,BRA,1972,388.73825,Brazil,101194390,3243226,15219795,42366420,62486360,55486864,58827890,52015596,3082461,11976569,14266268,12880356,10975601,16390167,11669834,8749485,5697737,3451997,1539199,339779,14089,85,3.84E-06,3
Bulgaria,BGR,1972,121.28457,Bulgaria,8700151,134798,699895,2008582,3369333,5802393,6690755,6291276,138958,565097,658079,650608,669015,1339784,1186480,1272180,896101,797302,404786,112879,12228,814,1.39E-05,4
Canada,CAN,1972,924.3328,Canada,22222228,348748,1807032,6337475,10554543,14077428,15884165,14524999,359553,1458284,2181489,2348954,2219742,3743180,2677086,2542262,2082154,1457916,808913,315017,37895,588,4.16E-05,1
Chile,CHL,1972,63.947697,Chile,10145762,264976,1302938,3783735,5810046,5958520,6362027,5690906,259414,1037962,1274702,1206095,1088995,1691665,1222237,1049447,665417,416740,190170,36865,491,0,6.30E-06,0
China,CHN,1972,519.6965,China,862840400,27657494,138292060,349502600,522223580,480741440,513337730,455138940,28176574,110634580,129241470,81969040,95682296,131919520,97486240,78265040,56913828,35927196,14529000,2526002,88585,97,6.02E-07,3
